Year,Employer,Role,Count Male,Count Female,Min Salary,Max Salary,Median Male Salary,Median Female Salary
1954,Department Advanced,Computer Operator,387,17,50228.65,1136022.63,96421.47,760498.79
1954,Department Advanced,Systems Analyst,236,11,69583.32,773928.65,199740.26,564837.48
1954,Net System Inc (NSI),Computer Operator,381,13,67082.88,907445.42,106172.08,658965.49
1954,Net System Inc (NSI),Systems Analyst,84,5,51657.38,548346.44,177628.91,462359.19
1956,Cyber Digital Corp,Computer Operator,200,2,44891.29,1022152.6,90857.09,534390.82
1956,Cyber Digital Corp,Systems Analyst,483,8,61042.16,1064687.25,80062.74,838893.04
1956,Virtual Institute LLC,Computer Operator,113,16,38946.27,905922.41,119005.81,590854.73
1956,Virtual Institute LLC,Systems Analyst,484,16,50576.84,873263.63,100628.01,585773.48
1956,Department Advanced,Computer Operator,450,2,57749.32,1047522.88,136964.78,968663.02
1956,Department Advanced,Systems Analyst,63,6,51196.43,811811.61,117861.76,740306.04
1956,Net System Inc (NSI),Computer Operator,259,4,36712.91,1048783.38,195530.91,855277.77
1956,Net System Inc (NSI),Systems Analyst,286,4,45575.88,587551.92,195645.56,502082.4
1956,Institute Agency,Computer Operator,39,2,61344.87,892155.72,154930.18,533055.73
1956,Institute Agency,Systems Analyst,227,1,39060.76,860283.36,140742.48,574835.82
1956,Group Technologies Inc (GTI),Computer Operator,323,14,65908.17,991016.01,195369.2,793507.18
1956,Group Technologies Inc (GTI),Systems Analyst,294,19,49482.43,1066117.22,147938.43,568340.29
1958,Cyber Digital Corp,Computer Operator,366,2,43461.33,729213.4,102669.57,483166.57
1958,Cyber Digital Corp,Systems Analyst,498,12,51831.28,820830.59,148792.01,609687.32
1958,Virtual Institute LLC,Computer Operator,122,5,30289.63,946240.09,125283.2,890790.66
1958,Virtual Institute LLC,Systems Analyst,480,15,36562.58,564342.11,84535.69,527707.98
1958,Space Laboratory (SL),Computer Operator,76,8,56381.4,918389.8,162270.7,642190.98
1958,Space Laboratory (SL),Systems Analyst,24,10,50940.58,952217.52,179385.12,686767.52
1958,Department Advanced,Computer Operator,338,13,38317.84,879209.28,105446.09,871268.84
1958,Department Advanced,Systems Analyst,127,2,49825.71,677389.73,124530.13,484426.81
1958,Net System Inc (NSI),Computer Operator,426,14,37200.82,848264.07,90928.02,448872.41
1958,Net System Inc (NSI),Systems Analyst,108,18,54353.41,722042.99,169583.37,584822.62
1958,Institute Agency,Computer Operator,371,10,55015.62,767672.23,162221.45,571365.3
1958,Institute Agency,Systems Analyst,273,4,32852.19,857919.7,102873.25,554095.82
1958,Group Technologies Inc (GTI),Computer Operator,136,5,39652.68,1019492.12,171456.85,835932.62
1958,Group Technologies Inc (GTI),Systems Analyst,48,18,53413.41,861921.62,142547.08,844230.25
1960,Cyber Digital Corp,Computer Operator,220,9,32785.21,924190.77,138840.24,564575.93
1960,Cyber Digital Corp,Systems Analyst,97,8,45666.35,801841.65,174371.43,419478.84
1960,Cyber Digital Corp,Software Developer,84,10,36589.46,804571.92,144193.39,510195.2
1960,Cyber Digital Corp,Database Administrator,238,7,36304.92,549895.95,147201.78,533893.52
1960,Virtual Institute LLC,Computer Operator,474,8,64738.09,542496.91,146147.58,409039.31
1960,Virtual Institute LLC,Systems Analyst,402,13,46414.41,606866.23,144196.65,553721.91
1960,Virtual Institute LLC,Software Developer,48,1,37403.2,697177.76,193456.61,573236.33
1960,Virtual Institute LLC,Database Administrator,234,18,65234.08,631182.6,106987.54,470714.04
1960,Space Laboratory (SL),Computer Operator,275,3,58021.81,798815.87,116011.31,425352.68
1960,Space Laboratory (SL),Systems Analyst,185,16,39967.7,916018.93,190848.81,497497.76
1960,Space Laboratory (SL),Software Developer,37,6,36947.3,854650.48,190405.22,522207.72
1960,Space Laboratory (SL),Database Administrator,202,18,69781.32,479371.02,100580.1,436254.18
1960,Security Innovation Corp (SIC),Computer Operator,429,16,42832.06,912154.29,137528.12,841622.6
1960,Security Innovation Corp (SIC),Systems Analyst,167,4,44505.18,860340.37,142778.39,637505.32
1960,Security Innovation Corp (SIC),Software Developer,470,15,63330.95,942298.49,134486.63,605793.66
1960,Security Innovation Corp (SIC),Database Administrator,66,16,49365.39,608999.44,92071.81,409498.86
1960,Department Advanced,Computer Operator,295,7,55193.2,864527.63,134237.13,574307.36
1960,Department Advanced,Systems Analyst,405,7,53866.19,862140.16,176756.6,574535.64
1960,Department Advanced,Software Developer,116,3,53187.05,561029.65,92964.66,415498.45
1960,Department Advanced,Database Administrator,303,10,48709.77,635490.82,81484.36,474648.83
1960,Net System Inc (NSI),Computer Operator,92,9,54989.95,841523.89,178400.89,777383.19
1960,Net System Inc (NSI),Systems Analyst,92,2,32906.15,656684.18,142293.26,389224.17
1960,Net System Inc (NSI),Software Developer,129,14,31233.61,837611.47,142320.85,672408.45
1960,Net System Inc (NSI),Database Administrator,220,12,53744.73,452737.85,189035.11,441668.41
1960,Institute Agency,Computer Operator,158,4,61133.07,763737.91,167548.9,531760.01
1960,Institute Agency,Systems Analyst,29,17,65147.1,593741.5,116444.36,520127.29
1960,Institute Agency,Software Developer,473,12,36096.04,572531.78,176619.41,405391.56
1960,Institute Agency,Database Administrator,390,16,60898.88,723981.28,138845.2,485628.54
1960,Group Technologies Inc (GTI),Computer Operator,104,19,66979.48,610599.8,190209.39,541284.28
1960,Group Technologies Inc (GTI),Systems Analyst,66,18,32586.77,636643.9,168877.36,603696.85
1960,Group Technologies Inc (GTI),Software Developer,435,7,69298.8,742003.73,174823.25,498498.35
1960,Group Technologies Inc (GTI),Database Administrator,177,14,46136.21,538384.2,176565.04,482627.03
1962,Cyber Digital Corp,Computer Operator,50,3,66647.09,849688.17,178627.15,586771.15
1962,Cyber Digital Corp,Systems Analyst,279,11,44765.88,602520.65,84811.43,458954.6
1962,Cyber Digital Corp,Software Developer,409,18,62720.45,769089.23,197764.47,398731.11
1962,Cyber Digital Corp,Database Administrator,103,1,31929.28,759146.46,103420.46,377999.11
1962,Virtual Institute LLC,Computer Operator,471,2,53567.83,664378.6,128426.42,618337.17
1962,Virtual Institute LLC,Systems Analyst,189,7,69727.2,429305.04,93925.9,423904.61
1962,Virtual Institute LLC,Software Developer,103,16,55857.95,764896.01,113917.44,553129.74
1962,Virtual Institute LLC,Database Administrator,62,9,47496.77,806006.6,140810.98,703488.93
1962,Space Laboratory (SL),Computer Operator,227,18,69932.08,600977.77,129783.15,371997.17
1962,Space Laboratory (SL),Systems Analyst,136,15,62174.72,789632.07,196777.61,467720.31
1962,Space Laboratory (SL),Software Developer,166,3,54058.63,795869.51,168924.42,587741.71
1962,Space Laboratory (SL),Database Administrator,448,4,43796.41,816400.83,196450.04,728307.73
1962,Security Innovation Corp (SIC),Computer Operator,266,9,67546.03,641720.22,84068.09,609962.47
1962,Security Innovation Corp (SIC),Systems Analyst,227,8,66788.21,620427.26,90979.73,434121.07
1962,Security Innovation Corp (SIC),Software Developer,50,17,44312.44,681743.36,115229.01,373505.36
1962,Security Innovation Corp (SIC),Database Administrator,134,3,57966.14,645599.82,170053.48,522263.1
1962,Department Advanced,Computer Operator,229,4,48292.01,897393.04,168219.82,450138.64
1962,Department Advanced,Systems Analyst,74,14,41685.73,721386.79,118892.47,702517.31
1962,Department Advanced,Software Developer,478,10,49382.08,845971.39,137871.11,732408.2
1962,Department Advanced,Database Administrator,365,7,60282.13,562265.65,83848.47,412772.16
1962,Net System Inc (NSI),Computer Operator,97,4,49859.9,644917.42,181389.51,570622.65
1962,Net System Inc (NSI),Systems Analyst,354,11,36937.81,478738.07,91123.34,423797.8
1962,Net System Inc (NSI),Software Developer,212,6,63954.73,751495.15,151547.0,732335.98
1962,Net System Inc (NSI),Database Administrator,41,19,50212.56,640715.15,122452.96,416870.04
1962,Institute Agency,Computer Operator,144,17,55859.86,822900.64,199741.71,659375.74
1962,Institute Agency,Systems Analyst,89,11,40619.21,786869.99,192802.2,582447.53
1962,Institute Agency,Software Developer,371,4,63780.44,437255.31,166650.05,428252.95
1962,Institute Agency,Database Administrator,307,6,46585.69,848190.77,151108.7,445663.45
1962,Group Technologies Inc (GTI),Computer Operator,460,1,53994.76,768203.36,131700.34,438665.38
1962,Group Technologies Inc (GTI),Systems Analyst,423,3,48975.34,846556.53,92195.2,375651.93
1962,Group Technologies Inc (GTI),Software Developer,432,2,50457.66,784647.66,132928.37,720240.88
1962,Group Technologies Inc (GTI),Database Administrator,113,12,51878.97,629160.9,189117.53,518070.08
1962,Innovation Security LLC (ISL),Computer Operator,238,1,44528.75,480046.03,89572.35,473485.78
1962,Innovation Security LLC (ISL),Systems Analyst,200,10,31152.57,849943.24,86020.41,676182.63
1962,Innovation Security LLC (ISL),Software Developer,279,2,56641.77,808509.9,132674.91,798488.84
1962,Innovation Security LLC (ISL),Database Administrator,433,14,48331.73,723315.61,151796.3,498530.06
1964,Cyber Digital Corp,Computer Operator,344,18,42943.42,644506.17,111286.84,368555.77
1964,Cyber Digital Corp,Systems Analyst,404,16,58175.17,739652.96,198469.02,528271.09
1964,Cyber Digital Corp,Software Developer,217,9,67713.38,637742.57,84815.82,446884.86
1964,Cyber Digital Corp,Database Administrator,375,13,61796.88,618505.56,118374.97,373904.09
1964,Virtual Institute LLC,Computer Operator,335,4,42387.87,747721.45,116834.54,718083.74
1964,Virtual Institute LLC,Systems Analyst,165,3,35944.97,424625.35,154284.41,387561.35
1964,Virtual Institute LLC,Software Developer,453,15,34304.87,487639.21,166698.03,378949.37
1964,Virtual Institute LLC,Database Administrator,344,8,38438.43,747072.91,130408.18,359361.91
1964,Space Laboratory (SL),Computer Operator,113,15,47321.78,531473.86,89679.7,483873.93
1964,Space Laboratory (SL),Systems Analyst,85,11,44474.13,825715.82,190804.93,399905.97
1964,Space Laboratory (SL),Software Developer,76,16,39221.71,571628.73,190649.57,442272.25
1964,Space Laboratory (SL),Database Administrator,237,13,60334.32,836055.43,139453.78,765275.71
1964,Security Innovation Corp (SIC),Computer Operator,34,7,46266.29,498627.11,88587.31,468555.86
1964,Security Innovation Corp (SIC),Systems Analyst,416,11,33142.57,854939.54,137847.45,497590.95
1964,Security Innovation Corp (SIC),Software Developer,213,18,52981.58,778838.79,184975.2,480473.57
1964,Security Innovation Corp (SIC),Database Administrator,404,14,44309.09,657958.14,142179.02,406697.64
1964,Department Advanced,Computer Operator,323,15,39471.06,734009.49,102874.07,592864.01
1964,Department Advanced,Systems Analyst,358,11,52077.74,645301.3,142269.92,488243.05
1964,Department Advanced,Software Developer,168,19,54370.17,749262.6,138923.88,665710.51
1964,Department Advanced,Database Administrator,257,12,41574.67,781854.8,162160.2,461874.07
1964,Net System Inc (NSI),Computer Operator,430,9,64303.61,514522.47,180913.75,495121.66
1964,Net System Inc (NSI),Systems Analyst,425,15,56595.15,856814.15,84601.02,731502.98
1964,Net System Inc (NSI),Software Developer,186,6,41955.21,732757.71,132112.96,472670.66
1964,Net System Inc (NSI),Database Administrator,492,13,33339.7,719902.8,111901.63,440185.35
1964,Institute Agency,Computer Operator,259,11,33790.57,837742.32,123762.69,344927.84
1964,Institute Agency,Systems Analyst,76,14,56140.11,836119.64,154862.84,429212.33
1964,Institute Agency,Software Developer,265,13,66438.55,781321.79,90782.53,677855.91
1964,Institute Agency,Database Administrator,415,4,56669.99,594505.24,123864.99,479093.52
1964,Group Technologies Inc (GTI),Computer Operator,302,3,60225.19,641587.01,195095.75,514760.25
1964,Group Technologies Inc (GTI),Systems Analyst,409,6,66233.41,502872.25,162206.35,346606.32
1964,Group Technologies Inc (GTI),Software Developer,240,5,41448.19,587629.15,162197.51,393703.01
1964,Group Technologies Inc (GTI),Database Administrator,59,7,34893.33,603529.04,190439.11,416000.69
1964,Innovation Security LLC (ISL),Computer Operator,147,15,61598.29,615953.0,128248.79,560104.43
1964,Innovation Security LLC (ISL),Systems Analyst,96,6,51467.01,498942.2,162326.5,373792.86
1964,Innovation Security LLC (ISL),Software Developer,173,4,45313.19,790449.18,186554.57,613342.15
1964,Innovation Security LLC (ISL),Database Administrator,107,11,68525.94,482744.27,128828.7,392334.16
1966,Cloud Net LLC (CNL),Computer Operator,447,11,58166.53,654409.22,140746.48,614643.12
1966,Cloud Net LLC (CNL),Systems Analyst,449,16,52426.9,518497.14,113066.6,461882.49
1966,Cloud Net LLC (CNL),Software Developer,480,5,52503.37,494259.67,141038.18,354306.86
1966,Cloud Net LLC (CNL),Database Administrator,116,5,66458.65,550798.08,149102.0,355070.42
1966,Cyber Digital Corp,Computer Operator,461,15,44491.14,387851.37,132817.15,360543.67
1966,Cyber Digital Corp,Systems Analyst,293,13,44515.26,800583.99,129655.61,404563.29
1966,Cyber Digital Corp,Software Developer,310,1,59806.86,544451.59,181841.64,491616.91
1966,Cyber Digital Corp,Database Administrator,37,9,34089.63,644200.06,196115.78,397838.37
1966,Virtual Institute LLC,Computer Operator,443,10,67843.37,758603.79,109473.9,583662.95
1966,Virtual Institute LLC,Systems Analyst,57,3,30282.75,412300.67,159899.68,399812.29
1966,Virtual Institute LLC,Software Developer,351,3,45744.18,392973.3,91112.71,391063.99
1966,Virtual Institute LLC,Database Administrator,42,9,51960.99,598430.88,123125.96,506459.45
1966,Space Laboratory (SL),Computer Operator,28,18,31254.78,578263.08,174739.25,363946.64
1966,Space Laboratory (SL),Systems Analyst,324,14,52694.48,729059.51,183816.61,496601.86
1966,Space Laboratory (SL),Software Developer,319,17,34111.25,664346.37,144233.28,471022.38
1966,Space Laboratory (SL),Database Administrator,336,1,58936.55,759902.46,95961.1,333056.87
1966,Security Innovation Corp (SIC),Computer Operator,384,12,43887.09,647043.69,84267.11,325390.3
1966,Security Innovation Corp (SIC),Systems Analyst,210,7,43179.92,490791.22,134010.55,364618.39
1966,Security Innovation Corp (SIC),Software Developer,114,7,67714.15,621014.84,135191.5,545475.22
1966,Security Innovation Corp (SIC),Database Administrator,491,10,63913.69,648397.22,149642.06,588741.58
1966,Department Advanced,Computer Operator,141,4,44733.26,791598.38,140285.04,512675.91
1966,Department Advanced,Systems Analyst,287,1,44993.57,578651.06,182391.57,422135.04
1966,Department Advanced,Software Developer,358,10,45423.71,782152.12,121246.64,671311.09
1966,Department Advanced,Database Administrator,74,4,51199.39,497626.73,159881.58,425968.59
1966,Net System Inc (NSI),Computer Operator,205,17,66561.72,567712.79,116635.59,566726.24
1966,Net System Inc (NSI),Systems Analyst,91,7,57719.52,737577.73,152370.45,455647.46
1966,Net System Inc (NSI),Software Developer,449,19,61353.44,445211.69,147248.04,411133.95
1966,Net System Inc (NSI),Database Administrator,324,15,63344.28,624646.46,86944.14,427946.12
1966,Institute Agency,Computer Operator,447,13,53220.8,801069.74,181544.87,503719.78
1966,Institute Agency,Systems Analyst,449,19,42734.72,681442.03,150242.03,600070.07
1966,Institute Agency,Software Developer,434,3,63067.97,621733.72,148622.29,490134.69
1966,Institute Agency,Database Administrator,154,9,46987.62,563065.29,96246.4,533893.81
1966,Group Technologies Inc (GTI),Computer Operator,99,14,30607.96,356283.15,167331.07,338026.91
1966,Group Technologies Inc (GTI),Systems Analyst,217,13,32665.68,410083.66,115362.26,332174.11
1966,Group Technologies Inc (GTI),Software Developer,302,12,42779.5,600345.57,144763.93,495472.1
1966,Group Technologies Inc (GTI),Database Administrator,499,9,32003.2,649880.08,133825.03,417606.44
1966,Innovation Security LLC (ISL),Computer Operator,65,9,68011.37,625669.87,169673.08,555184.09
1966,Innovation Security LLC (ISL),Systems Analyst,398,1,59304.67,673065.66,191866.19,557717.83
1966,Innovation Security LLC (ISL),Software Developer,414,3,36516.47,728564.51,198840.11,639671.75
1966,Innovation Security LLC (ISL),Database Administrator,186,9,34083.5,739937.73,113958.79,637378.1
1968,Cloud Net LLC (CNL),Computer Operator,415,17,61363.69,560224.23,92046.55,402102.5
1968,Cloud Net LLC (CNL),Systems Analyst,429,9,40996.39,691612.36,118860.33,668361.66
1968,Cloud Net LLC (CNL),Software Developer,486,15,59698.46,446148.08,186959.7,344186.18
1968,Cloud Net LLC (CNL),Database Administrator,79,13,49022.94,646043.15,172788.52,416043.98
1968,Cyber Digital Corp,Computer Operator,132,11,45450.79,663529.43,199015.86,502043.47
1968,Cyber Digital Corp,Systems Analyst,386,15,53083.99,753926.27,136716.87,409199.68
1968,Cyber Digital Corp,Software Developer,445,1,65968.97,559230.96,139684.51,459699.87
1968,Cyber Digital Corp,Database Administrator,95,16,34814.79,707201.63,144504.84,442561.83
1968,Virtual Institute LLC,Computer Operator,250,19,42661.87,550396.53,177305.21,353711.07
1968,Virtual Institute LLC,Systems Analyst,256,16,59941.4,490909.71,118520.01,338357.82
1968,Virtual Institute LLC,Software Developer,301,2,51955.38,728105.17,138390.96,385632.72
1968,Virtual Institute LLC,Database Administrator,339,3,58233.61,603524.39,179643.93,506765.75
1968,Space Laboratory (SL),Computer Operator,183,10,46074.55,421925.26,163396.83,406347.57
1968,Space Laboratory (SL),Systems Analyst,259,17,54920.95,670449.95,175794.11,479282.46
1968,Space Laboratory (SL),Software Developer,388,3,69648.58,724928.7,115269.14,564660.37
1968,Space Laboratory (SL),Database Administrator,20,6,43633.6,731980.17,180134.29,366352.33
1968,Security Innovation Corp (SIC),Computer Operator,277,8,64034.58,558222.9,196508.07,311566.59
1968,Security Innovation Corp (SIC),Systems Analyst,382,2,68418.48,755178.39,122156.51,658684.5
1968,Security Innovation Corp (SIC),Software Developer,143,12,47156.81,476285.25,158099.53,428525.3
1968,Security Innovation Corp (SIC),Database Administrator,338,3,52414.43,731187.49,139248.23,613279.03
1968,Department Advanced,Computer Operator,334,9,52497.88,593187.57,105038.71,312335.72
1968,Department Advanced,Systems Analyst,266,6,55807.31,762036.31,97126.17,315383.17
1968,Department Advanced,Software Developer,434,9,65001.2,443621.11,196615.86,360972.51
1968,Department Advanced,Database Administrator,253,4,62258.87,629570.71,96500.19,513705.51
1968,Net System Inc (NSI),Computer Operator,305,10,59284.48,620917.61,120980.75,411124.68
1968,Net System Inc (NSI),Systems Analyst,461,10,32054.89,722087.18,88421.0,686021.46
1968,Net System Inc (NSI),Software Developer,317,1,39671.92,762273.69,157746.83,602659.37
1968,Net System Inc (NSI),Database Administrator,75,16,53567.39,607517.72,96651.5,493878.67
1968,Institute Agency,Computer Operator,136,19,67582.59,738253.02,96594.15,559369.69
1968,Institute Agency,Systems Analyst,59,5,59884.16,679827.94,82208.92,369182.01
1968,Institute Agency,Software Developer,289,8,49713.74,760066.43,116138.33,550612.37
1968,Institute Agency,Database Administrator,254,16,42123.62,447522.0,171715.03,392652.81
1968,Group Technologies Inc (GTI),Computer Operator,296,1,52516.95,673519.75,102600.14,557852.21
1968,Group Technologies Inc (GTI),Systems Analyst,332,7,34516.17,569434.76,137248.8,353976.85
1968,Group Technologies Inc (GTI),Software Developer,466,3,54945.63,749609.91,169301.47,547750.58
1968,Group Technologies Inc (GTI),Database Administrator,60,14,64976.38,635612.63,167471.09,420772.13
1968,Innovation Security LLC (ISL),Computer Operator,442,3,37668.67,753270.9,130429.24,444911.34
1968,Innovation Security LLC (ISL),Systems Analyst,469,19,47680.82,609558.82,166152.31,389913.92
1968,Innovation Security LLC (ISL),Software Developer,63,4,67486.28,748977.35,190000.69,436423.66
1968,Innovation Security LLC (ISL),Database Administrator,310,16,36803.47,666551.31,178227.23,417900.83
1970,Cloud Net LLC (CNL),Computer Operator,117,18,45893.56,463460.6,199472.17,368282.44
1970,Cloud Net LLC (CNL),Systems Analyst,181,6,67957.31,558423.24,147536.01,440365.27
1970,Cloud Net LLC (CNL),Software Developer,333,4,35324.82,516795.16,190724.27,456623.88
1970,Cloud Net LLC (CNL),Database Administrator,397,8,68667.17,632106.12,137680.27,399942.61
1970,Cloud Net LLC (CNL),Network Engineer,498,3,62450.0,503654.73,94560.96,474333.77
1970,Cloud Net LLC (CNL),IT Technician,293,19,33595.18,467469.4,190886.15,293293.81
1970,Cloud Net LLC (CNL),Software Engineer,288,2,60744.14,694145.95,96059.59,351697.45
1970,Cyber Digital Corp,Computer Operator,342,12,67390.21,688120.1,120864.99,317488.7
1970,Cyber Digital Corp,Systems Analyst,250,18,45481.66,519919.64,110128.24,514073.58
1970,Cyber Digital Corp,Software Developer,115,7,48400.94,648697.5,88860.86,319980.55
1970,Cyber Digital Corp,Database Administrator,95,7,60187.89,584717.46,95192.42,305630.79
1970,Cyber Digital Corp,Network Engineer,28,1,51011.16,580700.72,193908.39,299290.73
1970,Cyber Digital Corp,IT Technician,326,17,62449.06,714306.51,86368.39,309871.42
1970,Cyber Digital Corp,Software Engineer,487,7,36750.07,673020.8,109889.87,552791.1
1970,Virtual Institute LLC,Computer Operator,60,16,37184.03,352282.76,181746.63,339490.9
1970,Virtual Institute LLC,Systems Analyst,275,9,32052.61,562457.4,178484.03,500628.79
1970,Virtual Institute LLC,Software Developer,262,3,55897.82,716454.98,108386.14,330178.62
1970,Virtual Institute LLC,Database Administrator,96,15,68624.83,669633.5,142676.48,390930.67
1970,Virtual Institute LLC,Network Engineer,297,14,51677.32,626151.42,140504.67,522886.98
1970,Virtual Institute LLC,IT Technician,368,19,49581.97,468608.16,163540.47,338899.33
1970,Virtual Institute LLC,Software Engineer,227,12,48002.47,371351.44,167358.59,291658.08
1970,Space Laboratory (SL),Computer Operator,438,9,57196.21,659001.73,164479.33,442976.51
1970,Space Laboratory (SL),Systems Analyst,404,17,43821.92,644062.06,93716.13,511236.48
1970,Space Laboratory (SL),Software Developer,65,1,65052.24,469061.28,135150.5,433801.59
1970,Space Laboratory (SL),Database Administrator,433,14,62795.51,542188.73,169479.36,362366.65
1970,Space Laboratory (SL),Network Engineer,74,3,58819.48,356588.18,93523.42,306540.31
1970,Space Laboratory (SL),IT Technician,360,5,55427.55,474849.09,99200.17,385572.8
1970,Space Laboratory (SL),Software Engineer,286,17,67608.45,657531.65,145114.9,512323.78
1970,Security Innovation Corp (SIC),Computer Operator,487,12,45091.37,528902.17,105585.3,310015.59
1970,Security Innovation Corp (SIC),Systems Analyst,231,2,44025.25,679715.74,118728.14,352631.85
1970,Security Innovation Corp (SIC),Software Developer,429,5,38375.17,717537.58,198010.97,311983.19
1970,Security Innovation Corp (SIC),Database Administrator,423,14,67072.13,486264.3,136077.76,348676.23
1970,Security Innovation Corp (SIC),Network Engineer,403,5,33255.78,686339.53,98976.71,637301.84
1970,Security Innovation Corp (SIC),IT Technician,312,14,33228.45,564636.02,91951.98,521199.55
1970,Security Innovation Corp (SIC),Software Engineer,287,18,43043.31,468833.01,110906.45,391325.25
1970,Department Advanced,Computer Operator,360,5,50722.0,641671.48,118418.43,446810.59
1970,Department Advanced,Systems Analyst,142,13,45095.38,401605.36,113548.07,383040.74
1970,Department Advanced,Software Developer,386,18,30707.68,482313.58,156911.53,409045.14
1970,Department Advanced,Database Administrator,130,19,40234.91,648316.81,196081.37,394650.52
1970,Department Advanced,Network Engineer,192,16,63266.88,672808.7,111150.66,461049.43
1970,Department Advanced,IT Technician,61,15,55555.07,605444.49,130718.2,507707.0
1970,Department Advanced,Software Engineer,380,11,53997.26,707917.29,126168.46,327638.41
1970,Net System Inc (NSI),Computer Operator,25,10,38875.57,664775.9,189690.59,330503.38
1970,Net System Inc (NSI),Systems Analyst,337,10,35829.39,561174.11,116811.32,425909.36
1970,Net System Inc (NSI),Software Developer,149,9,40962.62,455538.89,183406.35,311167.16
1970,Net System Inc (NSI),Database Administrator,275,8,40781.64,714754.5,103814.03,609704.78
1970,Net System Inc (NSI),Network Engineer,249,13,59165.29,371386.96,192920.92,324117.03
1970,Net System Inc (NSI),IT Technician,403,19,68356.42,693534.87,149184.41,340555.53
1970,Net System Inc (NSI),Software Engineer,425,17,32340.29,687575.42,126255.33,614805.75
1970,Institute Agency,Computer Operator,138,14,61822.88,652688.48,158083.16,400170.52
1970,Institute Agency,Systems Analyst,193,18,30861.34,696344.86,164658.91,613844.36
1970,Institute Agency,Software Developer,451,19,63525.97,541019.46,156912.95,316048.94
1970,Institute Agency,Database Administrator,262,12,60995.73,636381.03,169058.74,492487.57
1970,Institute Agency,Network Engineer,267,13,47439.26,538903.12,157083.2,392506.95
1970,Institute Agency,IT Technician,276,11,36029.24,689372.05,151718.01,467267.36
1970,Institute Agency,Software Engineer,146,7,46317.2,583188.84,126779.52,547735.13
1970,Group Technologies Inc (GTI),Computer Operator,98,12,54979.8,699760.77,80643.37,382349.7
1970,Group Technologies Inc (GTI),Systems Analyst,309,19,57473.01,600145.75,196776.21,384268.16
1970,Group Technologies Inc (GTI),Software Developer,445,3,41084.8,343906.08,135927.84,338248.93
1970,Group Technologies Inc (GTI),Database Administrator,304,12,54257.24,707458.04,182158.42,364855.98
1970,Group Technologies Inc (GTI),Network Engineer,250,16,63370.4,504508.7,169062.15,402380.82
1970,Group Technologies Inc (GTI),IT Technician,346,5,39803.15,444991.37,188284.68,315887.33
1970,Group Technologies Inc (GTI),Software Engineer,303,19,69182.69,620319.18,124710.51,522549.74
1970,Mobile Solutions Corp (MSC),Computer Operator,194,2,69671.22,684629.1,84193.11,529133.7
