Year,Employer,Role,Count Male,Count Female,Min Salary,Max Salary,Median Male Salary,Count Total,Adjusted Wage Gap,Median Female Salary
1952,Net System Inc (NSI),Systems Analyst,36.0,15.0,69456.73,962093.12,178086.31,51.0,0.3399999999999999,117536.9646
1954,Cyber Digital Corp,Computer Operator,361.0,17.0,60575.0,948588.38,121331.13,378.0,0.3475,79168.56233
1954,Cyber Digital Corp,Systems Analyst,318.0,13.0,32147.63,1107469.08,119519.32,331.0,0.3475,77986.35630000001
1954,Virtual Institute LLC,Computer Operator,132.0,14.0,40072.83,902259.5,198782.73,146.0,0.3475,129705.73132500004
1954,Virtual Institute LLC,Systems Analyst,109.0,3.0,31033.59,1078310.6,80402.26,112.0,0.3475,52462.47465
1954,Department Advanced,Computer Operator,387.0,17.0,50228.65,1136022.63,96421.47,404.0,0.3475,62915.00917500001
1954,Department Advanced,Systems Analyst,236.0,11.0,69583.32,773928.65,199740.26,247.0,0.3475,130330.51965000002
1954,Net System Inc (NSI),Computer Operator,381.0,13.0,67082.88,907445.42,106172.08,394.0,0.3475,69277.28220000002
1954,Net System Inc (NSI),Systems Analyst,84.0,5.0,51657.38,548346.44,177628.91,89.0,0.3475,115902.86377500002
1956,Cyber Digital Corp,Computer Operator,200.0,2.0,44891.29,1022152.6,90857.09,202.0,0.355,58602.82305
1956,Cyber Digital Corp,Systems Analyst,483.0,8.0,61042.16,1064687.25,80062.74,491.0,0.355,51640.4673
1956,Virtual Institute LLC,Computer Operator,113.0,16.0,38946.27,905922.41,119005.81,129.0,0.355,76758.74745
1956,Virtual Institute LLC,Systems Analyst,484.0,16.0,50576.84,873263.63,100628.01,500.0,0.355,64905.06645
1956,Department Advanced,Computer Operator,450.0,2.0,57749.32,1047522.88,136964.78,452.0,0.355,88342.2831
1956,Department Advanced,Systems Analyst,63.0,6.0,51196.43,811811.61,117861.76,69.0,0.355,76020.8352
1956,Net System Inc (NSI),Computer Operator,259.0,4.0,36712.91,1048783.38,195530.91,263.0,0.355,126117.437
1956,Net System Inc (NSI),Systems Analyst,286.0,4.0,45575.88,587551.92,195645.56,290.0,0.355,126191.3862
1956,Institute Agency,Computer Operator,39.0,2.0,61344.87,892155.72,154930.18,41.0,0.355,99929.9661
1956,Institute Agency,Systems Analyst,227.0,1.0,39060.76,860283.36,140742.48,228.0,0.355,90778.8996
1956,Group Technologies Inc (GTI),Computer Operator,323.0,14.0,65908.17,991016.01,195369.2,337.0,0.355,126013.134
1956,Group Technologies Inc (GTI),Systems Analyst,294.0,19.0,49482.43,1066117.22,147938.43,313.0,0.355,95420.28735
1958,Cyber Digital Corp,Computer Operator,366.0,2.0,43461.33,729213.4,102669.57,368.0,0.3625,65451.85088
1958,Cyber Digital Corp,Systems Analyst,498.0,12.0,51831.28,820830.59,148792.01,510.0,0.3625,94854.90638
1958,Virtual Institute LLC,Computer Operator,122.0,5.0,30289.63,946240.09,125283.2,127.0,0.3625,79868.04
1958,Virtual Institute LLC,Systems Analyst,480.0,15.0,36562.58,564342.11,84535.69,495.0,0.3625,53891.50238
1958,Space Laboratory (SL),Computer Operator,76.0,8.0,56381.4,918389.8,162270.7,84.0,0.3625,103447.5713
1958,Space Laboratory (SL),Systems Analyst,24.0,10.0,50940.58,952217.52,179385.12,34.0,0.3625,114358.014
1958,Department Advanced,Computer Operator,338.0,13.0,38317.84,879209.28,105446.09,351.0,0.3625,67221.88237499999
1958,Department Advanced,Systems Analyst,127.0,2.0,49825.71,677389.73,124530.13,129.0,0.3625,79387.95788
1958,Net System Inc (NSI),Computer Operator,426.0,14.0,37200.82,848264.07,90928.02,440.0,0.3625,57966.61275
1958,Net System Inc (NSI),Systems Analyst,108.0,18.0,54353.41,722042.99,169583.37,126.0,0.3625,108109.398375
1958,Institute Agency,Computer Operator,371.0,10.0,55015.62,767672.23,162221.45,381.0,0.3625,103416.1744
1958,Institute Agency,Systems Analyst,273.0,4.0,32852.19,857919.7,102873.25,277.0,0.3625,65581.69688
1958,Group Technologies Inc (GTI),Computer Operator,136.0,5.0,39652.68,1019492.12,171456.85,141.0,0.3625,109303.741875
1958,Group Technologies Inc (GTI),Systems Analyst,48.0,18.0,53413.41,861921.62,142547.08,66.0,0.3625,90873.7635
1960,Cyber Digital Corp,Computer Operator,220.0,9.0,32785.21,924190.77,138840.24,229.0,0.37,87469.35119999999
1960,Cyber Digital Corp,Systems Analyst,97.0,8.0,45666.35,801841.65,174371.43,105.0,0.37,109854.0009
1960,Cyber Digital Corp,Software Developer,84.0,10.0,36589.46,804571.92,144193.39,94.0,0.37,90841.8357
1960,Cyber Digital Corp,Database Administrator,238.0,7.0,36304.92,549895.95,147201.78,245.0,0.37,92737.1214
1960,Virtual Institute LLC,Computer Operator,474.0,8.0,64738.09,542496.91,146147.58,482.0,0.37,92072.9754
1960,Virtual Institute LLC,Systems Analyst,402.0,13.0,46414.41,606866.23,144196.65,415.0,0.37,90843.8895
1960,Virtual Institute LLC,Software Developer,48.0,1.0,37403.2,697177.76,193456.61,49.0,0.37,121877.6643
1960,Virtual Institute LLC,Database Administrator,234.0,18.0,65234.08,631182.6,106987.54,252.0,0.37,67402.1502
1960,Space Laboratory (SL),Computer Operator,275.0,3.0,58021.81,798815.87,116011.31,278.0,0.37,73087.1253
1960,Space Laboratory (SL),Systems Analyst,185.0,16.0,39967.7,916018.93,190848.81,201.0,0.37,120234.7503
1960,Space Laboratory (SL),Software Developer,37.0,6.0,36947.3,854650.48,190405.22,43.0,0.37,119955.2886
1960,Space Laboratory (SL),Database Administrator,202.0,18.0,69781.32,479371.02,100580.1,220.0,0.37,63365.463
1960,Security Innovation Corp (SIC),Computer Operator,429.0,16.0,42832.06,912154.29,137528.12,445.0,0.37,86642.7156
1960,Security Innovation Corp (SIC),Systems Analyst,167.0,4.0,44505.18,860340.37,142778.39,171.0,0.37,89950.38570000001
1960,Security Innovation Corp (SIC),Software Developer,470.0,15.0,63330.95,942298.49,134486.63,485.0,0.37,84726.5769
1960,Security Innovation Corp (SIC),Database Administrator,66.0,16.0,49365.39,608999.44,92071.81,82.0,0.37,58005.2403
1960,Department Advanced,Computer Operator,295.0,7.0,55193.2,864527.63,134237.13,302.0,0.37,84569.3919
1960,Department Advanced,Systems Analyst,405.0,7.0,53866.19,862140.16,176756.6,412.0,0.37,111356.658
1960,Department Advanced,Software Developer,116.0,3.0,53187.05,561029.65,92964.66,119.0,0.37,58567.7358
1960,Department Advanced,Database Administrator,303.0,10.0,48709.77,635490.82,81484.36,313.0,0.37,51335.1468
1960,Net System Inc (NSI),Computer Operator,92.0,9.0,54989.95,841523.89,178400.89,101.0,0.37,112392.56070000002
1960,Net System Inc (NSI),Systems Analyst,92.0,2.0,32906.15,656684.18,142293.26,94.0,0.37,89644.7538
1960,Net System Inc (NSI),Software Developer,129.0,14.0,31233.61,837611.47,142320.85,143.0,0.37,89662.1355
1960,Net System Inc (NSI),Database Administrator,220.0,12.0,53744.73,452737.85,189035.11,232.0,0.37,119092.1193
1960,Institute Agency,Computer Operator,158.0,4.0,61133.07,763737.91,167548.9,162.0,0.37,105555.807
1960,Institute Agency,Systems Analyst,29.0,17.0,65147.1,593741.5,116444.36,46.0,0.37,73359.9468
1960,Institute Agency,Software Developer,473.0,12.0,36096.04,572531.78,176619.41,485.0,0.37,111270.2283
1960,Institute Agency,Database Administrator,390.0,16.0,60898.88,723981.28,138845.2,406.0,0.37,87472.47600000001
1960,Group Technologies Inc (GTI),Computer Operator,104.0,19.0,66979.48,610599.8,190209.39,123.0,0.37,119831.9157
1960,Group Technologies Inc (GTI),Systems Analyst,66.0,18.0,32586.77,636643.9,168877.36,84.0,0.37,106392.7368
1960,Group Technologies Inc (GTI),Software Developer,435.0,7.0,69298.8,742003.73,174823.25,442.0,0.37,110138.6475
1960,Group Technologies Inc (GTI),Database Administrator,177.0,14.0,46136.21,538384.2,176565.04,191.0,0.37,111235.9752
1962,Cyber Digital Corp,Computer Operator,50.0,3.0,66647.09,849688.17,178627.15,53.0,0.3612903225806451,114090.8893548387
1962,Cyber Digital Corp,Systems Analyst,279.0,11.0,44765.88,602520.65,84811.43,290.0,0.3612903225806451,54169.88109677419
1962,Cyber Digital Corp,Software Developer,409.0,18.0,62720.45,769089.23,197764.47,427.0,0.3612903225806451,126314.08083870968
1962,Cyber Digital Corp,Database Administrator,103.0,1.0,31929.28,759146.46,103420.46,104.0,0.3612903225806451,66055.64864516129
1962,Virtual Institute LLC,Computer Operator,471.0,2.0,53567.83,664378.6,128426.42,473.0,0.3612903225806451,82027.19729032257
1962,Virtual Institute LLC,Systems Analyst,189.0,7.0,69727.2,429305.04,93925.9,196.0,0.3612903225806451,59991.38129032258
1962,Virtual Institute LLC,Software Developer,103.0,16.0,55857.95,764896.01,113917.44,119.0,0.3612903225806451,72760.17135
1962,Virtual Institute LLC,Database Administrator,62.0,9.0,47496.77,806006.6,140810.98,71.0,0.3612903225806451,89937.33561290323
1962,Space Laboratory (SL),Computer Operator,227.0,18.0,69932.08,600977.77,129783.15,245.0,0.3612903225806451,82893.75387096773
1962,Space Laboratory (SL),Systems Analyst,136.0,15.0,62174.72,789632.07,196777.61,151.0,0.3612903225806451,125683.7638064516
1962,Space Laboratory (SL),Software Developer,166.0,3.0,54058.63,795869.51,168924.42,169.0,0.3612903225806451,107893.66180645162
1962,Space Laboratory (SL),Database Administrator,448.0,4.0,43796.41,816400.83,196450.04,452.0,0.3612903225806451,125474.54167741936
1962,Security Innovation Corp (SIC),Computer Operator,266.0,9.0,67546.03,641720.22,84068.09,275.0,0.3612903225806451,53695.102645161285
1962,Security Innovation Corp (SIC),Systems Analyst,227.0,8.0,66788.21,620427.26,90979.73,235.0,0.3612903225806451,58109.63399999999
1962,Security Innovation Corp (SIC),Software Developer,50.0,17.0,44312.44,681743.36,115229.01,67.0,0.3612903225806451,73597.88381
1962,Security Innovation Corp (SIC),Database Administrator,134.0,3.0,57966.14,645599.82,170053.48,137.0,0.3612903225806451,108614.80335483872
1962,Department Advanced,Computer Operator,229.0,4.0,48292.01,897393.04,168219.82,233.0,0.3612903225806451,107443.62696774192
1962,Department Advanced,Systems Analyst,74.0,14.0,41685.73,721386.79,118892.47,88.0,0.3612903225806451,75937.77116129032
1962,Department Advanced,Software Developer,478.0,10.0,49382.08,845971.39,137871.11,488.0,0.3612903225806451,88059.61219354837
1962,Department Advanced,Database Administrator,365.0,7.0,60282.13,562265.65,83848.47,372.0,0.3612903225806451,53554.82922580645
1962,Net System Inc (NSI),Computer Operator,97.0,4.0,49859.9,644917.42,181389.51,101.0,0.3612903225806451,115855.23541935484
1962,Net System Inc (NSI),Systems Analyst,354.0,11.0,36937.81,478738.07,91123.34,365.0,0.3612903225806451,58201.35909677419
1962,Net System Inc (NSI),Software Developer,212.0,6.0,63954.73,751495.15,151547.0,218.0,0.3612903225806451,96794.53548387096
1962,Net System Inc (NSI),Database Administrator,41.0,19.0,50212.56,640715.15,122452.96,60.0,0.3612903225806451,78211.89058064517
1962,Institute Agency,Computer Operator,144.0,17.0,55859.86,822900.64,199741.71,161.0,0.3612903225806451,127576.96316129032
1962,Institute Agency,Systems Analyst,89.0,11.0,40619.21,786869.99,192802.2,100.0,0.3612903225806451,123144.63096774192
1962,Institute Agency,Software Developer,371.0,4.0,63780.44,437255.31,166650.05,375.0,0.3612903225806451,106440.99967741934
1962,Institute Agency,Database Administrator,307.0,6.0,46585.69,848190.77,151108.7,313.0,0.3612903225806451,96514.58903225808
1962,Group Technologies Inc (GTI),Computer Operator,460.0,1.0,53994.76,768203.36,131700.34,461.0,0.3612903225806451,84118.28167741935
1962,Group Technologies Inc (GTI),Systems Analyst,423.0,3.0,48975.34,846556.53,92195.2,426.0,0.3612903225806451,58885.96645
1962,Group Technologies Inc (GTI),Software Developer,432.0,2.0,50457.66,784647.66,132928.37,434.0,0.3612903225806451,84902.63632258064
1962,Group Technologies Inc (GTI),Database Administrator,113.0,12.0,51878.97,629160.9,189117.53,125.0,0.3612903225806451,120791.19658064516
1962,Innovation Security LLC (ISL),Computer Operator,238.0,1.0,44528.75,480046.03,89572.35,239.0,0.3612903225806451,57210.72677419355
1962,Innovation Security LLC (ISL),Systems Analyst,200.0,10.0,31152.57,849943.24,86020.41,210.0,0.3612903225806451,54942.06832258064
1962,Innovation Security LLC (ISL),Software Developer,279.0,2.0,56641.77,808509.9,132674.91,281.0,0.3612903225806451,84740.74896774194
1962,Innovation Security LLC (ISL),Database Administrator,433.0,14.0,48331.73,723315.61,151796.3,447.0,0.3612903225806451,96953.76581
1964,Cyber Digital Corp,Computer Operator,344.0,18.0,42943.42,644506.17,111286.84,362.0,0.3525806451612903,72049.25415483871
1964,Cyber Digital Corp,Systems Analyst,404.0,16.0,58175.17,739652.96,198469.02,420.0,0.3525806451612903,128492.68488387096
1964,Cyber Digital Corp,Software Developer,217.0,9.0,67713.38,637742.57,84815.82,226.0,0.3525806451612903,54911.40346451614
1964,Cyber Digital Corp,Database Administrator,375.0,13.0,61796.88,618505.56,118374.97,388.0,0.3525806451612903,76638.24670645162
1964,Virtual Institute LLC,Computer Operator,335.0,4.0,42387.87,747721.45,116834.54,339.0,0.3525806451612903,75640.94250967742
1964,Virtual Institute LLC,Systems Analyst,165.0,3.0,35944.97,424625.35,154284.41,168.0,0.3525806451612903,99886.71318387098
1964,Virtual Institute LLC,Software Developer,453.0,15.0,34304.87,487639.21,166698.03,468.0,0.3525806451612903,107923.53103548387
1964,Virtual Institute LLC,Database Administrator,344.0,8.0,38438.43,747072.91,130408.18,352.0,0.3525806451612903,84428.77976129032
1964,Space Laboratory (SL),Computer Operator,113.0,15.0,47321.78,531473.86,89679.7,128.0,0.3525806451612903,58060.37351612903
1964,Space Laboratory (SL),Systems Analyst,85.0,11.0,44474.13,825715.82,190804.93,96.0,0.3525806451612903,123530.80468064516
1964,Space Laboratory (SL),Software Developer,76.0,16.0,39221.71,571628.73,190649.57,92.0,0.3525806451612903,123430.22160967744
1964,Space Laboratory (SL),Database Administrator,237.0,13.0,60334.32,836055.43,139453.78,250.0,0.3525806451612903,90285.07627741936
1964,Security Innovation Corp (SIC),Computer Operator,34.0,7.0,46266.29,498627.11,88587.31,41.0,0.3525806451612903,57353.13908709677
1964,Security Innovation Corp (SIC),Systems Analyst,416.0,11.0,33142.57,854939.54,137847.45,427.0,0.3525806451612903,89245.10714516131
1964,Security Innovation Corp (SIC),Software Developer,213.0,18.0,52981.58,778838.79,184975.2,231.0,0.3525806451612903,119756.5246451613
1964,Security Innovation Corp (SIC),Database Administrator,404.0,14.0,44309.09,657958.14,142179.02,418.0,0.3525806451612903,92049.4494
1964,Department Advanced,Computer Operator,323.0,15.0,39471.06,734009.49,102874.07,338.0,0.3525806451612903,66602.66402903227
1964,Department Advanced,Systems Analyst,358.0,11.0,52077.74,645301.3,142269.92,369.0,0.3525806451612903,92108.29981935486
1964,Department Advanced,Software Developer,168.0,19.0,54370.17,749262.6,138923.88,187.0,0.3525806451612903,89942.00876129033
1964,Department Advanced,Database Administrator,257.0,12.0,41574.67,781854.8,162160.2,269.0,0.3525806451612903,104985.65206451614
1964,Net System Inc (NSI),Computer Operator,430.0,9.0,64303.61,514522.47,180913.75,439.0,0.3525806451612903,117127.06330645162
1964,Net System Inc (NSI),Systems Analyst,425.0,15.0,56595.15,856814.15,84601.02,440.0,0.3525806451612903,54772.33778709678
1964,Net System Inc (NSI),Software Developer,186.0,6.0,41955.21,732757.71,132112.96,192.0,0.3525806451612903,85532.48732903226
1964,Net System Inc (NSI),Database Administrator,492.0,13.0,33339.7,719902.8,111901.63,505.0,0.3525806451612903,72447.28110000001
1964,Institute Agency,Computer Operator,259.0,11.0,33790.57,837742.32,123762.69,270.0,0.3525806451612903,80126.36091290323
1964,Institute Agency,Systems Analyst,76.0,14.0,56140.11,836119.64,154862.84,90.0,0.3525806451612903,100261.19996129032
1964,Institute Agency,Software Developer,265.0,13.0,66438.55,781321.79,90782.53,278.0,0.3525806451612903,58774.36700322581
1964,Institute Agency,Database Administrator,415.0,4.0,56669.99,594505.24,123864.99,419.0,0.3525806451612903,80192.59191290324
1964,Group Technologies Inc (GTI),Computer Operator,302.0,3.0,60225.19,641587.01,195095.75,305.0,0.3525806451612903,126308.7645967742
1964,Group Technologies Inc (GTI),Systems Analyst,409.0,6.0,66233.41,502872.25,162206.35,415.0,0.3525806451612903,105015.53046774196
1964,Group Technologies Inc (GTI),Software Developer,240.0,5.0,41448.19,587629.15,162197.51,245.0,0.3525806451612903,105009.80728064515
1964,Group Technologies Inc (GTI),Database Administrator,59.0,7.0,34893.33,603529.04,190439.11,66.0,0.3525806451612903,123293.96573225806
1964,Innovation Security LLC (ISL),Computer Operator,147.0,15.0,61598.29,615953.0,128248.79,162.0,0.3525806451612903,83030.74888064516
1964,Innovation Security LLC (ISL),Systems Analyst,96.0,6.0,51467.01,498942.2,162326.5,102.0,0.3525806451612903,105093.31790322582
1964,Innovation Security LLC (ISL),Software Developer,173.0,4.0,45313.19,790449.18,186554.57,177.0,0.3525806451612903,120779.03935161293
1964,Innovation Security LLC (ISL),Database Administrator,107.0,11.0,68525.94,482744.27,128828.7,118.0,0.3525806451612903,83406.19383870967
1966,Cloud Net LLC (CNL),Computer Operator,447.0,11.0,58166.53,654409.22,140746.48,458.0,0.3438709677419355,92347.85171612904
1966,Cloud Net LLC (CNL),Systems Analyst,449.0,16.0,52426.9,518497.14,113066.6,465.0,0.3438709677419355,74186.27883870968
1966,Cloud Net LLC (CNL),Software Developer,480.0,5.0,52503.37,494259.67,141038.18,485.0,0.3438709677419355,92539.24455
1966,Cloud Net LLC (CNL),Database Administrator,116.0,5.0,66458.65,550798.08,149102.0,121.0,0.3438709677419355,97830.15096774194
1966,Cyber Digital Corp,Computer Operator,461.0,15.0,44491.14,387851.37,132817.15,476.0,0.3438709677419355,87145.18809677419
1966,Cyber Digital Corp,Systems Analyst,293.0,13.0,44515.26,800583.99,129655.61,306.0,0.3438709677419355,85070.80991612903
1966,Cyber Digital Corp,Software Developer,310.0,1.0,59806.86,544451.59,181841.64,311.0,0.3438709677419355,119311.57927741935
1966,Cyber Digital Corp,Database Administrator,37.0,9.0,34089.63,644200.06,196115.78,46.0,0.3438709677419355,128677.25694193548
1966,Virtual Institute LLC,Computer Operator,443.0,10.0,67843.37,758603.79,109473.9,453.0,0.3438709677419355,71829.00406451612
1966,Virtual Institute LLC,Systems Analyst,57.0,3.0,30282.75,412300.67,159899.68,60.0,0.3438709677419355,104914.8222967742
1966,Virtual Institute LLC,Software Developer,351.0,3.0,45744.18,392973.3,91112.71,354.0,0.3438709677419355,59781.69423870968
1966,Virtual Institute LLC,Database Administrator,42.0,9.0,51960.99,598430.88,123125.96,51.0,0.3438709677419355,80786.51698064516
1966,Space Laboratory (SL),Computer Operator,28.0,18.0,31254.78,578263.08,174739.25,46.0,0.3438709677419355,114651.495
1966,Space Laboratory (SL),Systems Analyst,324.0,14.0,52694.48,729059.51,183816.61,338.0,0.3438709677419355,120607.41443225804
1966,Space Laboratory (SL),Software Developer,319.0,17.0,34111.25,664346.37,144233.28,336.0,0.3438709677419355,94635.64242580644
1966,Space Laboratory (SL),Database Administrator,336.0,1.0,58936.55,759902.46,95961.1,337.0,0.3438709677419355,62962.86367741936
1966,Security Innovation Corp (SIC),Computer Operator,384.0,12.0,43887.09,647043.69,84267.11,396.0,0.3438709677419355,55290.09733548387
1966,Security Innovation Corp (SIC),Systems Analyst,210.0,7.0,43179.92,490791.22,134010.55,217.0,0.3438709677419355,87928.21248387096
1966,Security Innovation Corp (SIC),Software Developer,114.0,7.0,67714.15,621014.84,135191.5,121.0,0.3438709677419355,88703.06806451613
1966,Security Innovation Corp (SIC),Database Administrator,491.0,10.0,63913.69,648397.22,149642.06,501.0,0.3438709677419355,98184.50001290324
1966,Department Advanced,Computer Operator,141.0,4.0,44733.26,791598.38,140285.04,145.0,0.3438709677419355,92045.08753548388
1966,Department Advanced,Systems Analyst,287.0,1.0,44993.57,578651.06,182391.57,288.0,0.3438709677419355,119672.40431612905
1966,Department Advanced,Software Developer,358.0,10.0,45423.71,782152.12,121246.64,368.0,0.3438709677419355,79553.44056774194
1966,Department Advanced,Database Administrator,74.0,4.0,51199.39,497626.73,159881.58,78.0,0.3438709677419355,104902.94636129032
1966,Net System Inc (NSI),Computer Operator,205.0,17.0,66561.72,567712.79,116635.59,222.0,0.3438709677419355,76527.99679354839
1966,Net System Inc (NSI),Systems Analyst,91.0,7.0,57719.52,737577.73,152370.45,98.0,0.3438709677419355,99974.6759032258
1966,Net System Inc (NSI),Software Developer,449.0,19.0,61353.44,445211.69,147248.04,468.0,0.3438709677419355,96613.71398709678
1966,Net System Inc (NSI),Database Administrator,324.0,15.0,63344.28,624646.46,86944.14,339.0,0.3438709677419355,57046.57443870968
1966,Institute Agency,Computer Operator,447.0,13.0,53220.8,801069.74,181544.87,460.0,0.3438709677419355,119116.85986451613
1966,Institute Agency,Systems Analyst,449.0,19.0,42734.72,681442.03,150242.03,468.0,0.3438709677419355,98578.15775
1966,Institute Agency,Software Developer,434.0,3.0,63067.97,621733.72,148622.29,437.0,0.3438709677419355,97515.39930967742
1966,Institute Agency,Database Administrator,154.0,9.0,46987.62,563065.29,96246.4,163.0,0.3438709677419355,63150.05729032258
1966,Group Technologies Inc (GTI),Computer Operator,99.0,14.0,30607.96,356283.15,167331.07,113.0,0.3438709677419355,109790.77302580644
1966,Group Technologies Inc (GTI),Systems Analyst,217.0,13.0,32665.68,410083.66,115362.26,230.0,0.3438709677419355,75692.52801290322
1966,Group Technologies Inc (GTI),Software Developer,302.0,12.0,42779.5,600345.57,144763.93,314.0,0.3438709677419355,94983.81729677418
1966,Group Technologies Inc (GTI),Database Administrator,499.0,9.0,32003.2,649880.08,133825.03,508.0,0.3438709677419355,87806.48742580645
1966,Innovation Security LLC (ISL),Computer Operator,65.0,9.0,68011.37,625669.87,169673.08,74.0,0.3438709677419355,111327.43378064517
1966,Innovation Security LLC (ISL),Systems Analyst,398.0,1.0,59304.67,673065.66,191866.19,399.0,0.3438709677419355,125888.97756774194
1966,Innovation Security LLC (ISL),Software Developer,414.0,3.0,36516.47,728564.51,198840.11,417.0,0.3438709677419355,130464.76894838708
1966,Innovation Security LLC (ISL),Database Administrator,186.0,9.0,34083.5,739937.73,113958.79,195.0,0.3438709677419355,74771.6706
1968,Cloud Net LLC (CNL),Computer Operator,415.0,17.0,61363.69,560224.23,92046.55,432.0,0.3351612903225806,61196.10953225807
1968,Cloud Net LLC (CNL),Systems Analyst,429.0,9.0,40996.39,691612.36,118860.33,438.0,0.3351612903225806,79022.94842903226
1968,Cloud Net LLC (CNL),Software Developer,486.0,15.0,59698.46,446148.08,186959.7,501.0,0.3351612903225806,124298.04570967742
1968,Cloud Net LLC (CNL),Database Administrator,79.0,13.0,49022.94,646043.15,172788.52,92.0,0.3351612903225806,114876.49668387097
1968,Cyber Digital Corp,Computer Operator,132.0,11.0,45450.79,663529.43,199015.86,143.0,0.3351612903225806,132313.4475677419
1968,Cyber Digital Corp,Systems Analyst,386.0,15.0,53083.99,753926.27,136716.87,401.0,0.3351612903225806,90894.66744193548
1968,Cyber Digital Corp,Software Developer,445.0,1.0,65968.97,559230.96,139684.51,446.0,0.3351612903225806,92867.66939032258
1968,Cyber Digital Corp,Database Administrator,95.0,16.0,34814.79,707201.63,144504.84,111.0,0.3351612903225806,96072.41136774192
1968,Virtual Institute LLC,Computer Operator,250.0,19.0,42661.87,550396.53,177305.21,269.0,0.3351612903225806,117879.36703548384
1968,Virtual Institute LLC,Systems Analyst,256.0,16.0,59941.4,490909.71,118520.01,272.0,0.3351612903225806,78796.69051935483
1968,Virtual Institute LLC,Software Developer,301.0,2.0,51955.38,728105.17,138390.96,303.0,0.3351612903225806,92007.66727741934
1968,Virtual Institute LLC,Database Administrator,339.0,3.0,58233.61,603524.39,179643.93,342.0,0.3351612903225806,119434.23862258064
1968,Space Laboratory (SL),Computer Operator,183.0,10.0,46074.55,421925.26,163396.83,193.0,0.3351612903225806,108632.53762258062
1968,Space Laboratory (SL),Systems Analyst,259.0,17.0,54920.95,670449.95,175794.11,276.0,0.3351612903225806,116874.72926129033
1968,Space Laboratory (SL),Software Developer,388.0,3.0,69648.58,724928.7,115269.14,391.0,0.3351612903225806,76635.38630322581
1968,Space Laboratory (SL),Database Administrator,20.0,6.0,43633.6,731980.17,180134.29,26.0,0.3351612903225806,119760.24893225808
1968,Security Innovation Corp (SIC),Computer Operator,277.0,8.0,64034.58,558222.9,196508.07,285.0,0.3351612903225806,130646.1717
