Year,Employer,Role,Count Male,Count Female,Count Total,Min Salary,Max Salary,Average Male Salary,Average Female Salary
1958,Space Laboratory (SL),Systems Analyst,24,10,34,50940.58,952217.52,179385.12,114358.01
1958,Department Advanced,Computer Operator,338,13,351,38317.84,879209.28,105446.09,67221.88
1958,Department Advanced,Systems Analyst,127,2,129,49825.71,677389.73,124530.13,79387.96
1958,Net System Inc (NSI),Computer Operator,426,14,440,37200.82,848264.07,90928.02,57966.61
1958,Net System Inc (NSI),Systems Analyst,108,18,126,54353.41,722042.99,169583.37,108109.4
1958,Institute Agency,Computer Operator,371,10,381,55015.62,767672.23,162221.45,103416.17
1958,Institute Agency,Systems Analyst,273,4,277,32852.19,857919.7,102873.25,65581.7
1958,Group Technologies Inc (GTI),Computer Operator,136,5,141,39652.68,1019492.12,171456.85,109303.74
1958,Group Technologies Inc (GTI),Systems Analyst,48,18,66,53413.41,861921.62,142547.08,90873.76
1960,Cyber Digital Corp,Computer Operator,220,9,229,32785.21,924190.77,138840.24,87469.35
1960,Cyber Digital Corp,Systems Analyst,97,8,105,45666.35,801841.65,174371.43,109854.0
1960,Cyber Digital Corp,Software Developer,84,10,94,36589.46,804571.92,144193.39,90841.84
1960,Cyber Digital Corp,Database Administrator,238,7,245,36304.92,549895.95,147201.78,92737.12
1960,Virtual Institute LLC,Computer Operator,474,8,482,64738.09,542496.91,146147.58,92072.98
1960,Virtual Institute LLC,Systems Analyst,402,13,415,46414.41,606866.23,144196.65,90843.89
1960,Virtual Institute LLC,Software Developer,48,1,49,37403.2,697177.76,193456.61,121877.66
1960,Virtual Institute LLC,Database Administrator,234,18,252,65234.08,631182.6,106987.54,67402.15
1960,Space Laboratory (SL),Computer Operator,275,3,278,58021.81,798815.87,116011.31,73087.13
1960,Space Laboratory (SL),Systems Analyst,185,16,201,39967.7,916018.93,190848.81,120234.75
1960,Space Laboratory (SL),Software Developer,37,6,43,36947.3,854650.48,190405.22,119955.29
1960,Space Laboratory (SL),Database Administrator,202,18,220,69781.32,479371.02,100580.1,63365.46
1960,Security Innovation Corp (SIC),Computer Operator,429,16,445,42832.06,912154.29,137528.12,86642.72
1960,Security Innovation Corp (SIC),Systems Analyst,167,4,171,44505.18,860340.37,142778.39,89950.39
1960,Security Innovation Corp (SIC),Software Developer,470,15,485,63330.95,942298.49,134486.63,84726.58
1960,Security Innovation Corp (SIC),Database Administrator,66,16,82,49365.39,608999.44,92071.81,58005.24
1960,Department Advanced,Computer Operator,295,7,302,55193.2,864527.63,134237.13,84569.39
1960,Department Advanced,Systems Analyst,405,7,412,53866.19,862140.16,176756.6,111356.66
1960,Department Advanced,Software Developer,116,3,119,53187.05,561029.65,92964.66,58567.74
1960,Department Advanced,Database Administrator,303,10,313,48709.77,635490.82,81484.36,51335.15
1960,Net System Inc (NSI),Computer Operator,92,9,101,54989.95,841523.89,178400.89,112392.56
1960,Net System Inc (NSI),Systems Analyst,92,2,94,32906.15,656684.18,142293.26,89644.75
1960,Net System Inc (NSI),Software Developer,129,14,143,31233.61,837611.47,142320.85,89662.14
1960,Net System Inc (NSI),Database Administrator,220,12,232,53744.73,452737.85,189035.11,119092.12
1960,Institute Agency,Computer Operator,158,4,162,61133.07,763737.91,167548.9,105555.81
1960,Institute Agency,Systems Analyst,29,17,46,65147.1,593741.5,116444.36,73359.95
1960,Institute Agency,Software Developer,473,12,485,36096.04,572531.78,176619.41,111270.23
1960,Institute Agency,Database Administrator,390,16,406,60898.88,723981.28,138845.2,87472.48
1960,Group Technologies Inc (GTI),Computer Operator,104,19,123,66979.48,610599.8,190209.39,119831.92
1960,Group Technologies Inc (GTI),Systems Analyst,66,18,84,32586.77,636643.9,168877.36,106392.74
1960,Group Technologies Inc (GTI),Software Developer,435,7,442,69298.8,742003.73,174823.25,110138.65
1960,Group Technologies Inc (GTI),Database Administrator,177,14,191,46136.21,538384.2,176565.04,111235.98
1962,Cyber Digital Corp,Computer Operator,50,3,53,66647.09,849688.17,178627.15,114090.89
1962,Cyber Digital Corp,Systems Analyst,279,11,290,44765.88,602520.65,84811.43,54169.88
1962,Cyber Digital Corp,Software Developer,409,18,427,62720.45,769089.23,197764.47,126314.08
1962,Cyber Digital Corp,Database Administrator,103,1,104,31929.28,759146.46,103420.46,66055.65
1962,Virtual Institute LLC,Computer Operator,471,2,473,53567.83,664378.6,128426.42,82027.2
1962,Virtual Institute LLC,Systems Analyst,189,7,196,69727.2,429305.04,93925.9,59991.38
1962,Virtual Institute LLC,Software Developer,103,16,119,55857.95,764896.01,113917.44,72760.17
1962,Virtual Institute LLC,Database Administrator,62,9,71,47496.77,806006.6,140810.98,89937.34
1962,Space Laboratory (SL),Computer Operator,227,18,245,69932.08,600977.77,129783.15,82893.75
1962,Space Laboratory (SL),Systems Analyst,136,15,151,62174.72,789632.07,196777.61,125683.76
1962,Space Laboratory (SL),Software Developer,166,3,169,54058.63,795869.51,168924.42,107893.66
1962,Space Laboratory (SL),Database Administrator,448,4,452,43796.41,816400.83,196450.04,125474.54
1962,Security Innovation Corp (SIC),Computer Operator,266,9,275,67546.03,641720.22,84068.09,53695.1
1962,Security Innovation Corp (SIC),Systems Analyst,227,8,235,66788.21,620427.26,90979.73,58109.63
1962,Security Innovation Corp (SIC),Software Developer,50,17,67,44312.44,681743.36,115229.01,73597.88
1962,Security Innovation Corp (SIC),Database Administrator,134,3,137,57966.14,645599.82,170053.48,108614.8
1962,Department Advanced,Computer Operator,229,4,233,48292.01,897393.04,168219.82,107443.63
1962,Department Advanced,Systems Analyst,74,14,88,41685.73,721386.79,118892.47,75937.77
1962,Department Advanced,Software Developer,478,10,488,49382.08,845971.39,137871.11,88059.61
1962,Department Advanced,Database Administrator,365,7,372,60282.13,562265.65,83848.47,53554.83
1962,Net System Inc (NSI),Computer Operator,97,4,101,49859.9,644917.42,181389.51,115855.24
1962,Net System Inc (NSI),Systems Analyst,354,11,365,36937.81,478738.07,91123.34,58201.36
1962,Net System Inc (NSI),Software Developer,212,6,218,63954.73,751495.15,151547.0,96794.54
1962,Net System Inc (NSI),Database Administrator,41,19,60,50212.56,640715.15,122452.96,78211.89
1962,Institute Agency,Computer Operator,144,17,161,55859.86,822900.64,199741.71,127576.96
1962,Institute Agency,Systems Analyst,89,11,100,40619.21,786869.99,192802.2,123144.63
1962,Institute Agency,Software Developer,371,4,375,63780.44,437255.31,166650.05,106441.0
1962,Institute Agency,Database Administrator,307,6,313,46585.69,848190.77,151108.7,96514.59
1962,Group Technologies Inc (GTI),Computer Operator,460,1,461,53994.76,768203.36,131700.34,84118.28
1962,Group Technologies Inc (GTI),Systems Analyst,423,3,426,48975.34,846556.53,92195.2,58885.97
1962,Group Technologies Inc (GTI),Software Developer,432,2,434,50457.66,784647.66,132928.37,84902.64
1962,Group Technologies Inc (GTI),Database Administrator,113,12,125,51878.97,629160.9,189117.53,120791.2
1962,Innovation Security LLC (ISL),Computer Operator,238,1,239,44528.75,480046.03,89572.35,57210.73
1962,Innovation Security LLC (ISL),Systems Analyst,200,10,210,31152.57,849943.24,86020.41,54942.07
1962,Innovation Security LLC (ISL),Software Developer,279,2,281,56641.77,808509.9,132674.91,84740.75
1962,Innovation Security LLC (ISL),Database Administrator,433,14,447,48331.73,723315.61,151796.3,96953.77
1964,Cyber Digital Corp,Computer Operator,344,18,362,42943.42,644506.17,111286.84,72049.25
1964,Cyber Digital Corp,Systems Analyst,404,16,420,58175.17,739652.96,198469.02,128492.68
1964,Cyber Digital Corp,Software Developer,217,9,226,67713.38,637742.57,84815.82,54911.4
1964,Cyber Digital Corp,Database Administrator,375,13,388,61796.88,618505.56,118374.97,76638.25
1964,Virtual Institute LLC,Computer Operator,335,4,339,42387.87,747721.45,116834.54,75640.94
1964,Virtual Institute LLC,Systems Analyst,165,3,168,35944.97,424625.35,154284.41,99886.71
1964,Virtual Institute LLC,Software Developer,453,15,468,34304.87,487639.21,166698.03,107923.53
1964,Virtual Institute LLC,Database Administrator,344,8,352,38438.43,747072.91,130408.18,84428.78
1964,Space Laboratory (SL),Computer Operator,113,15,128,47321.78,531473.86,89679.7,58060.37
1964,Space Laboratory (SL),Systems Analyst,85,11,96,44474.13,825715.82,190804.93,123530.8
1964,Space Laboratory (SL),Software Developer,76,16,92,39221.71,571628.73,190649.57,123430.22
1964,Space Laboratory (SL),Database Administrator,237,13,250,60334.32,836055.43,139453.78,90285.08
1964,Security Innovation Corp (SIC),Computer Operator,34,7,41,46266.29,498627.11,88587.31,57353.14
1964,Security Innovation Corp (SIC),Systems Analyst,416,11,427,33142.57,854939.54,137847.45,89245.11
1964,Security Innovation Corp (SIC),Software Developer,213,18,231,52981.58,778838.79,184975.2,119756.52
1964,Security Innovation Corp (SIC),Database Administrator,404,14,418,44309.09,657958.14,142179.02,92049.45
1964,Department Advanced,Computer Operator,323,15,338,39471.06,734009.49,102874.07,66602.66
1964,Department Advanced,Systems Analyst,358,11,369,52077.74,645301.3,142269.92,92108.3
1964,Department Advanced,Software Developer,168,19,187,54370.17,749262.6,138923.88,89942.01
1964,Department Advanced,Database Administrator,257,12,269,41574.67,781854.8,162160.2,104985.65
1964,Net System Inc (NSI),Computer Operator,430,9,439,64303.61,514522.47,180913.75,117127.06
1964,Net System Inc (NSI),Systems Analyst,425,15,440,56595.15,856814.15,84601.02,54772.34
1964,Net System Inc (NSI),Software Developer,186,6,192,41955.21,732757.71,132112.96,85532.49
1964,Net System Inc (NSI),Database Administrator,492,13,505,33339.7,719902.8,111901.63,72447.28
1964,Institute Agency,Computer Operator,259,11,270,33790.57,837742.32,123762.69,80126.36
1964,Institute Agency,Systems Analyst,76,14,90,56140.11,836119.64,154862.84,100261.2
1964,Institute Agency,Software Developer,265,13,278,66438.55,781321.79,90782.53,58774.37
1964,Institute Agency,Database Administrator,415,4,419,56669.99,594505.24,123864.99,80192.59
1964,Group Technologies Inc (GTI),Computer Operator,302,3,305,60225.19,641587.01,195095.75,126308.76
1964,Group Technologies Inc (GTI),Systems Analyst,409,6,415,66233.41,502872.25,162206.35,105015.53
1964,Group Technologies Inc (GTI),Software Developer,240,5,245,41448.19,587629.15,162197.51,105009.81
1964,Group Technologies Inc (GTI),Database Administrator,59,7,66,34893.33,603529.04,190439.11,123293.97
1964,Innovation Security LLC (ISL),Computer Operator,147,15,162,61598.29,615953.0,128248.79,83030.75
1964,Innovation Security LLC (ISL),Systems Analyst,96,6,102,51467.01,498942.2,162326.5,105093.32
1964,Innovation Security LLC (ISL),Software Developer,173,4,177,45313.19,790449.18,186554.57,120779.04
1964,Innovation Security LLC (ISL),Database Administrator,107,11,118,68525.94,482744.27,128828.7,83406.19
1966,Cloud Net LLC (CNL),Computer Operator,447,11,458,58166.53,654409.22,140746.48,92347.85
1966,Cloud Net LLC (CNL),Systems Analyst,449,16,465,52426.9,518497.14,113066.6,74186.28
1966,Cloud Net LLC (CNL),Software Developer,480,5,485,52503.37,494259.67,141038.18,92539.24
1966,Cloud Net LLC (CNL),Database Administrator,116,5,121,66458.65,550798.08,149102.0,97830.15
1966,Cyber Digital Corp,Computer Operator,461,15,476,44491.14,387851.37,132817.15,87145.19
1966,Cyber Digital Corp,Systems Analyst,293,13,306,44515.26,800583.99,129655.61,85070.81
1966,Cyber Digital Corp,Software Developer,310,1,311,59806.86,544451.59,181841.64,119311.58
1966,Cyber Digital Corp,Database Administrator,37,9,46,34089.63,644200.06,196115.78,128677.26
1966,Virtual Institute LLC,Computer Operator,443,10,453,67843.37,758603.79,109473.9,71829.0
1966,Virtual Institute LLC,Systems Analyst,57,3,60,30282.75,412300.67,159899.68,104914.82
1966,Virtual Institute LLC,Software Developer,351,3,354,45744.18,392973.3,91112.71,59781.69
1966,Virtual Institute LLC,Database Administrator,42,9,51,51960.99,598430.88,123125.96,80786.52
1966,Space Laboratory (SL),Computer Operator,28,18,46,31254.78,578263.08,174739.25,114651.5
1966,Space Laboratory (SL),Systems Analyst,324,14,338,52694.48,729059.51,183816.61,120607.41
1966,Space Laboratory (SL),Software Developer,319,17,336,34111.25,664346.37,144233.28,94635.64
1966,Space Laboratory (SL),Database Administrator,336,1,337,58936.55,759902.46,95961.1,62962.86
1966,Security Innovation Corp (SIC),Computer Operator,384,12,396,43887.09,647043.69,84267.11,55290.1
1966,Security Innovation Corp (SIC),Systems Analyst,210,7,217,43179.92,490791.22,134010.55,87928.21
1966,Security Innovation Corp (SIC),Software Developer,114,7,121,67714.15,621014.84,135191.5,88703.07
1966,Security Innovation Corp (SIC),Database Administrator,491,10,501,63913.69,648397.22,149642.06,98184.5
1966,Department Advanced,Computer Operator,141,4,145,44733.26,791598.38,140285.04,92045.09
1966,Department Advanced,Systems Analyst,287,1,288,44993.57,578651.06,182391.57,119672.4
1966,Department Advanced,Software Developer,358,10,368,45423.71,782152.12,121246.64,79553.44
1966,Department Advanced,Database Administrator,74,4,78,51199.39,497626.73,159881.58,104902.95
1966,Net System Inc (NSI),Computer Operator,205,17,222,66561.72,567712.79,116635.59,76528.0
1966,Net System Inc (NSI),Systems Analyst,91,7,98,57719.52,737577.73,152370.45,99974.68
1966,Net System Inc (NSI),Software Developer,449,19,468,61353.44,445211.69,147248.04,96613.71
1966,Net System Inc (NSI),Database Administrator,324,15,339,63344.28,624646.46,86944.14,57046.57
1966,Institute Agency,Computer Operator,447,13,460,53220.8,801069.74,181544.87,119116.86
1966,Institute Agency,Systems Analyst,449,19,468,42734.72,681442.03,150242.03,98578.16
1966,Institute Agency,Software Developer,434,3,437,63067.97,621733.72,148622.29,97515.4
1966,Institute Agency,Database Administrator,154,9,163,46987.62,563065.29,96246.4,63150.06
1966,Group Technologies Inc (GTI),Computer Operator,99,14,113,30607.96,356283.15,167331.07,109790.77
1966,Group Technologies Inc (GTI),Systems Analyst,217,13,230,32665.68,410083.66,115362.26,75692.53
1966,Group Technologies Inc (GTI),Software Developer,302,12,314,42779.5,600345.57,144763.93,94983.82
1966,Group Technologies Inc (GTI),Database Administrator,499,9,508,32003.2,649880.08,133825.03,87806.49
1966,Innovation Security LLC (ISL),Computer Operator,65,9,74,68011.37,625669.87,169673.08,111327.43
1966,Innovation Security LLC (ISL),Systems Analyst,398,1,399,59304.67,673065.66,191866.19,125888.98
1966,Innovation Security LLC (ISL),Software Developer,414,3,417,36516.47,728564.51,198840.11,130464.77
1966,Innovation Security LLC (ISL),Database Administrator,186,9,195,34083.5,739937.73,113958.79,74771.67
1968,Cloud Net LLC (CNL),Computer Operator,415,17,432,61363.69,560224.23,92046.55,61196.11
1968,Cloud Net LLC (CNL),Systems Analyst,429,9,438,40996.39,691612.36,118860.33,79022.95
1968,Cloud Net LLC (CNL),Software Developer,486,15,501,59698.46,446148.08,186959.7,124298.05
1968,Cloud Net LLC (CNL),Database Administrator,79,13,92,49022.94,646043.15,172788.52,114876.5
1968,Cyber Digital Corp,Computer Operator,132,11,143,45450.79,663529.43,199015.86,132313.45
1968,Cyber Digital Corp,Systems Analyst,386,15,401,53083.99,753926.27,136716.87,90894.67
1968,Cyber Digital Corp,Software Developer,445,1,446,65968.97,559230.96,139684.51,92867.67
1968,Cyber Digital Corp,Database Administrator,95,16,111,34814.79,707201.63,144504.84,96072.41
1968,Virtual Institute LLC,Computer Operator,250,19,269,42661.87,550396.53,177305.21,117879.37
1968,Virtual Institute LLC,Systems Analyst,256,16,272,59941.4,490909.71,118520.01,78796.69
1968,Virtual Institute LLC,Software Developer,301,2,303,51955.38,728105.17,138390.96,92007.67
1968,Virtual Institute LLC,Database Administrator,339,3,342,58233.61,603524.39,179643.93,119434.24
1968,Space Laboratory (SL),Computer Operator,183,10,193,46074.55,421925.26,163396.83,108632.54
1968,Space Laboratory (SL),Systems Analyst,259,17,276,54920.95,670449.95,175794.11,116874.73
1968,Space Laboratory (SL),Software Developer,388,3,391,69648.58,724928.7,115269.14,76635.39
1968,Space Laboratory (SL),Database Administrator,20,6,26,43633.6,731980.17,180134.29,119760.25
1968,Security Innovation Corp (SIC),Computer Operator,277,8,285,64034.58,558222.9,196508.07,130646.17
1968,Security Innovation Corp (SIC),Systems Analyst,382,2,384,68418.48,755178.39,122156.51,81214.38
1968,Security Innovation Corp (SIC),Software Developer,143,12,155,47156.81,476285.25,158099.53,105110.69
1968,Security Innovation Corp (SIC),Database Administrator,338,3,341,52414.43,731187.49,139248.23,92577.61
1968,Department Advanced,Computer Operator,334,9,343,52497.88,593187.57,105038.71,69833.8
1968,Department Advanced,Systems Analyst,266,6,272,55807.31,762036.31,97126.17,64573.24
1968,Department Advanced,Software Developer,434,9,443,65001.2,443621.11,196615.86,130717.83
1968,Department Advanced,Database Administrator,253,4,257,62258.87,629570.71,96500.19,64157.06
1968,Net System Inc (NSI),Computer Operator,305,10,315,59284.48,620917.61,120980.75,80432.69
1968,Net System Inc (NSI),Systems Analyst,461,10,471,32054.89,722087.18,88421.0,58785.7
1968,Net System Inc (NSI),Software Developer,317,1,318,39671.92,762273.69,157746.83,104876.2
1968,Net System Inc (NSI),Database Administrator,75,16,91,53567.39,607517.72,96651.5,64257.66
1968,Institute Agency,Computer Operator,136,19,155,67582.59,738253.02,96594.15,64219.53
1968,Institute Agency,Systems Analyst,59,5,64,59884.16,679827.94,82208.92,54655.67
1968,Institute Agency,Software Developer,289,8,297,49713.74,760066.43,116138.33,77213.26
1968,Institute Agency,Database Administrator,254,16,270,42123.62,447522.0,171715.03,114162.8
1968,Group Technologies Inc (GTI),Computer Operator,296,1,297,52516.95,673519.75,102600.14,68212.54
1968,Group Technologies Inc (GTI),Systems Analyst,332,7,339,34516.17,569434.76,137248.8,91248.32
1968,Group Technologies Inc (GTI),Software Developer,466,3,469,54945.63,749609.91,169301.47,112558.17
1968,Group Technologies Inc (GTI),Database Administrator,60,14,74,64976.38,635612.63,167471.09,111341.26
1968,Innovation Security LLC (ISL),Computer Operator,442,3,445,37668.67,753270.9,130429.24,86714.41
1968,Innovation Security LLC (ISL),Systems Analyst,469,19,488,47680.82,609558.82,166152.31,110464.49
1968,Innovation Security LLC (ISL),Software Developer,63,4,67,67486.28,748977.35,190000.69,126319.81
1968,Innovation Security LLC (ISL),Database Administrator,310,16,326,36803.47,666551.31,178227.23,118492.36
1970,Cloud Net LLC (CNL),Computer Operator,117,18,135,45893.56,463460.6,199472.17,134354.16
1970,Cloud Net LLC (CNL),Systems Analyst,181,6,187,67957.31,558423.24,147536.01,99372.64
1970,Cloud Net LLC (CNL),Software Developer,333,4,337,35324.82,516795.16,190724.27,128462.02
1970,Cloud Net LLC (CNL),Database Administrator,397,8,405,68667.17,632106.12,137680.27,92734.32
1970,Cloud Net LLC (CNL),Network Engineer,498,3,501,62450.0,503654.73,94560.96,63691.38
1970,Cloud Net LLC (CNL),IT Technician,293,19,312,33595.18,467469.4,190886.15,128571.06
1970,Cloud Net LLC (CNL),Software Engineer,288,2,290,60744.14,694145.95,96059.59,64700.78
1970,Cyber Digital Corp,Computer Operator,342,12,354,67390.21,688120.1,120864.99,81408.42
1970,Cyber Digital Corp,Systems Analyst,250,18,268,45481.66,519919.64,110128.24,74176.7
1970,Cyber Digital Corp,Software Developer,115,7,122,48400.94,648697.5,88860.86,59852.09
1970,Cyber Digital Corp,Database Administrator,95,7,102,60187.89,584717.46,95192.42,64116.7
1970,Cyber Digital Corp,Network Engineer,28,1,29,51011.16,580700.72,193908.39,130606.68
1970,Cyber Digital Corp,IT Technician,326,17,343,62449.06,714306.51,86368.39,58173.29
1970,Cyber Digital Corp,Software Engineer,487,7,494,36750.07,673020.8,109889.87,74016.14
1970,Virtual Institute LLC,Computer Operator,60,16,76,37184.03,352282.76,181746.63,122415.15
1970,Virtual Institute LLC,Systems Analyst,275,9,284,32052.61,562457.4,178484.03,120217.63
1970,Virtual Institute LLC,Software Developer,262,3,265,55897.82,716454.98,108386.14,73003.31
1970,Virtual Institute LLC,Database Administrator,96,15,111,68624.83,669633.5,142676.48,96099.51
1970,Virtual Institute LLC,Network Engineer,297,14,311,51677.32,626151.42,140504.67,94636.69
1970,Virtual Institute LLC,IT Technician,368,19,387,49581.97,468608.16,163540.47,110152.42
1970,Virtual Institute LLC,Software Engineer,227,12,239,48002.47,371351.44,167358.59,112724.11
1970,Space Laboratory (SL),Computer Operator,438,9,447,57196.21,659001.73,164479.33,110784.79
1970,Space Laboratory (SL),Systems Analyst,404,17,421,43821.92,644062.06,93716.13,63122.35
1970,Space Laboratory (SL),Software Developer,65,1,66,65052.24,469061.28,135150.5,91030.4
1970,Space Laboratory (SL),Database Administrator,433,14,447,62795.51,542188.73,169479.36,114152.55
1970,Space Laboratory (SL),Network Engineer,74,3,77,58819.48,356588.18,93523.42,62992.55
1970,Space Laboratory (SL),IT Technician,360,5,365,55427.55,474849.09,99200.17,66816.11
1970,Space Laboratory (SL),Software Engineer,286,17,303,67608.45,657531.65,145114.9,97741.91
1970,Security Innovation Corp (SIC),Computer Operator,487,12,499,45091.37,528902.17,105585.3,71116.81
1970,Security Innovation Corp (SIC),Systems Analyst,231,2,233,44025.25,679715.74,118728.14,79969.15
1970,Security Innovation Corp (SIC),Software Developer,429,5,434,38375.17,717537.58,198010.97,133369.97
1970,Security Innovation Corp (SIC),Database Administrator,423,14,437,67072.13,486264.3,136077.76,91654.96
1970,Security Innovation Corp (SIC),Network Engineer,403,5,408,33255.78,686339.53,98976.71,66665.6
1970,Security Innovation Corp (SIC),IT Technician,312,14,326,33228.45,564636.02,91951.98,61934.11
1970,Security Innovation Corp (SIC),Software Engineer,287,18,305,43043.31,468833.01,110906.45,74700.86
1970,Department Advanced,Computer Operator,360,5,365,50722.0,641671.48,118418.43,79760.54
1970,Department Advanced,Systems Analyst,142,13,155,45095.38,401605.36,113548.07,76480.12
1970,Department Advanced,Software Developer,386,18,404,30707.68,482313.58,156911.53,105687.51
1970,Department Advanced,Database Administrator,130,19,149,40234.91,648316.81,196081.37,132070.29
1970,Department Advanced,Network Engineer,192,16,208,63266.88,672808.7,111150.66,74865.35
1970,Department Advanced,IT Technician,61,15,76,55555.07,605444.49,130718.2,88045.03
1970,Department Advanced,Software Engineer,380,11,391,53997.26,707917.29,126168.46,84980.56
1970,Net System Inc (NSI),Computer Operator,25,10,35,38875.57,664775.9,189690.59,127765.79
1970,Net System Inc (NSI),Systems Analyst,337,10,347,35829.39,561174.11,116811.32,78678.08
1970,Net System Inc (NSI),Software Developer,149,9,158,40962.62,455538.89,183406.35,123533.05
1970,Net System Inc (NSI),Database Administrator,275,8,283,40781.64,714754.5,103814.03,69923.77
1970,Net System Inc (NSI),Network Engineer,249,13,262,59165.29,371386.96,192920.92,129941.57
1970,Net System Inc (NSI),IT Technician,403,19,422,68356.42,693534.87,149184.41,100482.92
1970,Net System Inc (NSI),Software Engineer,425,17,442,32340.29,687575.42,126255.33,85039.07
1970,Institute Agency,Computer Operator,138,14,152,61822.88,652688.48,158083.16,106476.66
